Lifter Name,Age,Weight Class,Lift Type,Amount Lifted (kg)
Jessica Wilson,19,120 kg,Bench Press,138
Matthew Anderson,26,120 kg,Squat,352
Michael Johnson,18,Open,Bench Press,263
Emily Davis,29,74 kg,Squat,156
Sarah Thomas,44,52 kg,Squat,257
Laura Taylor,48,120 kg,Bench Press,244
Jessica Wilson,61,93 kg,Bench Press,343
Emily Davis,60,93 kg,Deadlift,142
Chris Brown,37,93 kg,Squat,259
Jessica Wilson,39,93 kg,Bench Press,166
Emily Davis,19,66 kg,Squat,294
Emily Davis,36,52 kg,Squat,204
Laura Taylor,46,83 kg,Bench Press,276
Sarah Thomas,29,Open,Squat,247
Sarah Thomas,57,105 kg,Bench Press,392
Sarah Thomas,27,59 kg,Bench Press,312
Laura Taylor,42,93 kg,Bench Press,388
Emily Davis,22,105 kg,Deadlift,391
Michael Johnson,44,120 kg,Deadlift,335
Emily Davis,61,83 kg,Deadlift,128
Sarah Thomas,39,120 kg,Squat,277
Laura Taylor,32,105 kg,Deadlift,398
Laura Taylor,47,Open,Squat,280
Jessica Wilson,19,52 kg,Bench Press,179
Jane Smith,32,74 kg,Squat,127
Michael Johnson,18,105 kg,Bench Press,390
Michael Johnson,33,Open,Bench Press,174
Matthew Anderson,51,93 kg,Bench Press,179
Jane Smith,50,83 kg,Bench Press,372
Jessica Wilson,55,Open,Bench Press,131
Matthew Anderson,23,93 kg,Bench Press,271
Chris Brown,48,52 kg,Deadlift,169
John Doe,59,59 kg,Squat,358
Michael Johnson,27,66 kg,Deadlift,221
Jessica Wilson,25,120 kg,Deadlift,393
Jessica Wilson,48,120 kg,Squat,357
John Doe,39,83 kg,Deadlift,203
Matthew Anderson,48,93 kg,Deadlift,360
Jane Smith,59,66 kg,Bench Press,134
Jane Smith,26,66 kg,Bench Press,377
John Doe,19,83 kg,Deadlift,279
Emily Davis,63,52 kg,Squat,304
Matthew Anderson,39,93 kg,Bench Press,325
Matthew Anderson,26,Open,Deadlift,365
Chris Brown,63,93 kg,Deadlift,329
Chris Brown,18,59 kg,Deadlift,375
John Doe,45,Open,Bench Press,213
Sarah Thomas,43,Open,Deadlift,195
Emily Davis,47,83 kg,Deadlift,168
Laura Taylor,25,52 kg,Deadlift,105
Emily Davis,44,93 kg,Squat,191
Michael Johnson,49,120 kg,Bench Press,202
Jane Smith,32,59 kg,Deadlift,309
Jane Smith,37,105 kg,Squat,308
Michael Johnson,26,Open,Deadlift,337
Jane Smith,57,Open,Deadlift,141
Chris Brown,47,120 kg,Squat,276
Michael Johnson,41,93 kg,Deadlift,255
Jessica Wilson,31,Open,Deadlift,166
Jessica Wilson,58,59 kg,Squat,191
Jessica Wilson,19,105 kg,Deadlift,275
Michael Johnson,43,52 kg,Bench Press,223
Jessica Wilson,42,93 kg,Squat,169
Laura Taylor,48,93 kg,Deadlift,338
Laura Taylor,59,74 kg,Bench Press,352
Daniel Lee,34,83 kg,Deadlift,223
Jane Smith,29,105 kg,Squat,278
Daniel Lee,57,93 kg,Deadlift,327
Laura Taylor,25,74 kg,Bench Press,270
Michael Johnson,56,Open,Deadlift,228
Emily Davis,39,120 kg,Deadlift,363
Jane Smith,42,120 kg,Deadlift,190
Sarah Thomas,55,Open,Bench Press,244
Jessica Wilson,61,Open,Bench Press,284
Sarah Thomas,54,105 kg,Deadlift,196
Sarah Thomas,50,120 kg,Deadlift,115
Michael Johnson,27,Open,Squat,285
John Doe,58,66 kg,Squat,368
Sarah Thomas,34,74 kg,Bench Press,325
Jane Smith,53,83 kg,Squat,236
Sarah Thomas,21,83 kg,Deadlift,256
John Doe,57,83 kg,Squat,239
Daniel Lee,55,83 kg,Bench Press,260
John Doe,21,59 kg,Bench Press,177
Chris Brown,58,66 kg,Deadlift,177
Matthew Anderson,53,93 kg,Bench Press,106
Chris Brown,19,105 kg,Squat,310
Emily Davis,21,105 kg,Bench Press,304
Emily Davis,29,66 kg,Deadlift,249
Matthew Anderson,21,93 kg,Squat,120
Matthew Anderson,64,52 kg,Bench Press,318
Laura Taylor,30,59 kg,Squat,245
John Doe,50,59 kg,Squat,169
Emily Davis,57,59 kg,Squat,132
Matthew Anderson,18,Open,Deadlift,146
Laura Taylor,41,74 kg,Bench Press,126
Laura Taylor,25,74 kg,Deadlift,240
Jane Smith,19,66 kg,Deadlift,359
Matthew Anderson,52,74 kg,Bench Press,306
Chris Brown,31,74 kg,Bench Press,132
Laura Taylor,48,52 kg,Squat,112
John Doe,39,Open,Bench Press,133
Chris Brown,35,83 kg,Bench Press,384
Sarah Thomas,41,Open,Bench Press,241
John Doe,53,52 kg,Bench Press,224
Daniel Lee,51,74 kg,Deadlift,176
Chris Brown,24,52 kg,Bench Press,387
Michael Johnson,42,Open,Squat,208
Chris Brown,52,74 kg,Bench Press,291
Daniel Lee,58,52 kg,Bench Press,187
Emily Davis,56,Open,Squat,192
Emily Davis,27,59 kg,Deadlift,317
Laura Taylor,42,105 kg,Deadlift,398
Matthew Anderson,47,52 kg,Bench Press,102
Jessica Wilson,23,105 kg,Squat,318
John Doe,43,93 kg,Bench Press,348
Matthew Anderson,22,66 kg,Bench Press,268
Jessica Wilson,64,74 kg,Deadlift,293
Chris Brown,56,93 kg,Bench Press,201
Laura Taylor,18,74 kg,Squat,283
Chris Brown,32,120 kg,Squat,186
Jane Smith,27,105 kg,Deadlift,307
Emily Davis,54,52 kg,Deadlift,299
Emily Davis,46,83 kg,Bench Press,330
Sarah Thomas,33,Open,Squat,287
Michael Johnson,20,83 kg,Squat,264
Jessica Wilson,54,66 kg,Squat,187
Michael Johnson,25,66 kg,Bench Press,123
Emily Davis,35,Open,Deadlift,295
Jessica Wilson,49,74 kg,Squat,248
Laura Taylor,61,83 kg,Bench Press,348
Michael Johnson,59,74 kg,Bench Press,214
Laura Taylor,33,83 kg,Bench Press,214
Jane Smith,46,66 kg,Bench Press,127
Daniel Lee,60,Open,Deadlift,223
Jessica Wilson,49,59 kg,Squat,165
John Doe,40,52 kg,Squat,127
John Doe,41,74 kg,Squat,323
Emily Davis,22,Open,Deadlift,152
Jane Smith,18,74 kg,Bench Press,182
Sarah Thomas,35,83 kg,Squat,172
Sarah Thomas,24,Open,Deadlift,189
Daniel Lee,22,83 kg,Deadlift,198
Daniel Lee,29,59 kg,Bench Press,100
Laura Taylor,50,93 kg,Squat,132
Matthew Anderson,34,83 kg,Squat,280
Matthew Anderson,20,93 kg,Bench Press,295
Laura Taylor,28,Open,Squat,353
John Doe,57,120 kg,Deadlift,311
Matthew Anderson,56,52 kg,Deadlift,218
Daniel Lee,57,105 kg,Deadlift,225
Matthew Anderson,18,59 kg,Deadlift,376
Sarah Thomas,27,59 kg,Bench Press,272
Matthew Anderson,29,83 kg,Bench Press,340
Emily Davis,62,93 kg,Bench Press,331
Daniel Lee,35,59 kg,Squat,114
Jane Smith,54,93 kg,Bench Press,200
Laura Taylor,59,93 kg,Deadlift,235
Chris Brown,23,74 kg,Bench Press,189
Sarah Thomas,59,120 kg,Squat,294
Michael Johnson,56,59 kg,Deadlift,348
John Doe,54,120 kg,Bench Press,344
Matthew Anderson,22,52 kg,Deadlift,385
Michael Johnson,29,105 kg,Squat,164
Laura Taylor,57,105 kg,Bench Press,395
Matthew Anderson,47,93 kg,Bench Press,114
Chris Brown,61,74 kg,Deadlift,345
Chris Brown,63,52 kg,Squat,109
Jane Smith,29,105 kg,Bench Press,356
Laura Taylor,60,83 kg,Bench Press,270
Daniel Lee,50,120 kg,Bench Press,219
Sarah Thomas,19,93 kg,Deadlift,289
Chris Brown,62,83 kg,Squat,131
Jane Smith,52,Open,Bench Press,100
Jessica Wilson,60,74 kg,Squat,332
Sarah Thomas,60,120 kg,Bench Press,251
Laura Taylor,62,120 kg,Squat,334
Jane Smith,28,Open,Squat,137
Emily Davis,60,74 kg,Squat,256
Jessica Wilson,58,59 kg,Squat,308
Laura Taylor,64,Open,Bench Press,278
Emily Davis,57,93 kg,Squat,192
Daniel Lee,33,83 kg,Bench Press,394
Daniel Lee,63,83 kg,Bench Press,362
Laura Taylor,44,59 kg,Squat,300
Sarah Thomas,59,59 kg,Deadlift,331
Jane Smith,58,Open,Deadlift,136
Sarah Thomas,62,Open,Deadlift,385
Daniel Lee,34,74 kg,Squat,287
John Doe,61,66 kg,Bench Press,240
Emily Davis,46,105 kg,Squat,179
Matthew Anderson,18,74 kg,Squat,253
Chris Brown,62,52 kg,Deadlift,369
Jane Smith,20,52 kg,Deadlift,277
Chris Brown,40,93 kg,Bench Press,170
Jessica Wilson,42,Open,Squat,201
John Doe,62,120 kg,Deadlift,119
Emily Davis,37,93 kg,Squat,128
Jane Smith,48,Open,Squat,223
Chris Brown,31,52 kg,Bench Press,140
Chris Brown,25,59 kg,Bench Press,196
Chris Brown,37,66 kg,Bench Press,349
John Doe,53,52 kg,Deadlift,393
John Doe,47,Open,Bench Press,116
Matthew Anderson,38,66 kg,Deadlift,310
Chris Brown,26,Open,Bench Press,385
Daniel Lee,28,52 kg,Squat,251
Sarah Thomas,59,105 kg,Bench Press,248
Emily Davis,52,105 kg,Bench Press,355
Emily Davis,64,105 kg,Squat,357
Michael Johnson,29,74 kg,Bench Press,343
Jane Smith,26,83 kg,Bench Press,271
Michael Johnson,39,74 kg,Deadlift,380
Jane Smith,22,52 kg,Bench Press,257
Emily Davis,25,74 kg,Deadlift,209
Chris Brown,39,105 kg,Bench Press,198
Jane Smith,40,105 kg,Bench Press,303
Jane Smith,24,105 kg,Deadlift,196
John Doe,37,93 kg,Deadlift,214
Laura Taylor,61,52 kg,Deadlift,181
Matthew Anderson,24,59 kg,Bench Press,300
Chris Brown,50,83 kg,Deadlift,318
Emily Davis,55,120 kg,Bench Press,158
Jessica Wilson,40,66 kg,Deadlift,302
Daniel Lee,59,105 kg,Squat,190
Emily Davis,39,52 kg,Deadlift,115
Michael Johnson,29,59 kg,Bench Press,230
Sarah Thomas,61,59 kg,Bench Press,254
Matthew Anderson,21,52 kg,Bench Press,378
Jane Smith,50,59 kg,Squat,244
Chris Brown,47,93 kg,Squat,233
John Doe,39,52 kg,Deadlift,277
Matthew Anderson,35,105 kg,Squat,375
Emily Davis,23,59 kg,Squat,135
Sarah Thomas,45,52 kg,Squat,283
Jessica Wilson,19,93 kg,Bench Press,119
Jessica Wilson,51,105 kg,Deadlift,106
Jane Smith,58,Open,Squat,386
Laura Taylor,61,105 kg,Bench Press,213
Matthew Anderson,57,52 kg,Squat,192
Daniel Lee,61,59 kg,Deadlift,365
Chris Brown,55,120 kg,Deadlift,321
Laura Taylor,48,93 kg,Bench Press,194
Emily Davis,36,93 kg,Deadlift,222
Jessica Wilson,33,52 kg,Bench Press,277
Emily Davis,63,52 kg,Squat,164
Daniel Lee,58,59 kg,Bench Press,385
Chris Brown,47,93 kg,Deadlift,281
Laura Taylor,22,105 kg,Squat,257
Emily Davis,60,83 kg,Deadlift,368
John Doe,38,Open,Squat,188
Jessica Wilson,34,93 kg,Bench Press,328
Sarah Thomas,39,93 kg,Bench Press,274
Emily Davis,20,Open,Squat,322
Laura Taylor,38,59 kg,Bench Press,244
Jessica Wilson,63,66 kg,Deadlift,222
Jessica Wilson,42,Open,Squat,220
Matthew Anderson,61,93 kg,Deadlift,120
John Doe,38,105 kg,Squat,196
Matthew Anderson,63,120 kg,Deadlift,115
Emily Davis,33,66 kg,Bench Press,208
Daniel Lee,51,83 kg,Deadlift,368
Sarah Thomas,42,105 kg,Bench Press,214
Emily Davis,42,52 kg,Deadlift,179
Michael Johnson,58,74 kg,Squat,239
Laura Taylor,45,74 kg,Deadlift,257
John Doe,21,105 kg,Deadlift,247
Emily Davis,37,74 kg,Squat,203
John Doe,30,59 kg,Bench Press,110
Emily Davis,62,120 kg,Deadlift,160
Daniel Lee,28,74 kg,Deadlift,342
Jane Smith,27,74 kg,Squat,325
Sarah Thomas,46,74 kg,Squat,331
Michael Johnson,64,59 kg,Deadlift,292
Sarah Thomas,49,59 kg,Squat,379
Chris Brown,41,52 kg,Bench Press,327
Sarah Thomas,31,105 kg,Bench Press,313
Jane Smith,23,Open,Deadlift,206
Emily Davis,63,Open,Squat,138
Michael Johnson,58,59 kg,Deadlift,223
Chris Brown,25,Open,Bench Press,255
Sarah Thomas,59,83 kg,Bench Press,324
Laura Taylor,64,74 kg,Bench Press,193
Chris Brown,34,83 kg,Bench Press,273
Sarah Thomas,57,Open,Bench Press,215
Chris Brown,53,74 kg,Deadlift,113
Jane Smith,60,52 kg,Bench Press,315
Michael Johnson,46,120 kg,Deadlift,253
Laura Taylor,35,59 kg,Bench Press,233
Michael Johnson,55,52 kg,Squat,236
Emily Davis,19,Open,Bench Press,118
Sarah Thomas,35,59 kg,Squat,301
Laura Taylor,48,93 kg,Deadlift,138
Daniel Lee,52,74 kg,Squat,161
Daniel Lee,21,52 kg,Bench Press,271
Michael Johnson,51,74 kg,Squat,120
Emily Davis,61,93 kg,Bench Press,343
Daniel Lee,43,93 kg,Bench Press,135
John Doe,19,59 kg,Deadlift,142
Matthew Anderson,52,74 kg,Bench Press,130
John Doe,57,93 kg,Bench Press,327
Laura Taylor,58,59 kg,Squat,313
Daniel Lee,36,52 kg,Bench Press,211
Jessica Wilson,59,74 kg,Squat,351
Sarah Thomas,39,83 kg,Deadlift,393
Daniel Lee,46,93 kg,Deadlift,151
Jessica Wilson,19,105 kg,Deadlift,379
Michael Johnson,59,93 kg,Bench Press,153
Laura Taylor,56,74 kg,Squat,324
Jane Smith,30,59 kg,Bench Press,216
Sarah Thomas,33,66 kg,Squat,157
Michael Johnson,46,83 kg,Bench Press,248
Michael Johnson,43,52 kg,Deadlift,309
Jessica Wilson,40,59 kg,Deadlift,286
Daniel Lee,45,93 kg,Deadlift,217
Chris Brown,31,66 kg,Squat,343
Michael Johnson,51,59 kg,Squat,179
Michael Johnson,32,Open,Deadlift,296
Jane Smith,26,74 kg,Bench Press,236
John Doe,22,74 kg,Deadlift,153
Sarah Thomas,64,120 kg,Deadlift,230
John Doe,39,83 kg,Squat,265
Michael Johnson,63,93 kg,Bench Press,146
Matthew Anderson,46,105 kg,Deadlift,272
Emily Davis,40,66 kg,Bench Press,150
John Doe,32,120 kg,Bench Press,265
Matthew Anderson,18,66 kg,Bench Press,291
Matthew Anderson,55,105 kg,Deadlift,314
Jane Smith,27,66 kg,Bench Press,314
John Doe,51,52 kg,Squat,281
Jessica Wilson,58,83 kg,Bench Press,255
Matthew Anderson,58,120 kg,Squat,231
Michael Johnson,25,59 kg,Squat,238
Emily Davis,44,105 kg,Squat,362
Jessica Wilson,47,74 kg,Squat,139
Emily Davis,35,105 kg,Bench Press,153
Matthew Anderson,28,52 kg,Squat,215
Daniel Lee,61,59 kg,Bench Press,243
Chris Brown,51,93 kg,Deadlift,180
Daniel Lee,19,120 kg,Deadlift,307
Emily Davis,56,83 kg,Bench Press,228
Daniel Lee,37,59 kg,Bench Press,388
Michael Johnson,47,Open,Squat,100
Daniel Lee,24,66 kg,Deadlift,239
Jessica Wilson,23,83 kg,Deadlift,287
Jessica Wilson,22,59 kg,Bench Press,383
Sarah Thomas,20,Open,Squat,117
Chris Brown,58,52 kg,Squat,322
Daniel Lee,58,74 kg,Squat,272
Jessica Wilson,34,66 kg,Bench Press,302
Jane Smith,25,66 kg,Squat,237
Emily Davis,58,59 kg,Bench Press,337
Emily Davis,42,83 kg,Deadlift,224
Matthew Anderson,41,120 kg,Bench Press,328
Sarah Thomas,40,120 kg,Bench Press,253
Jessica Wilson,59,105 kg,Deadlift,311
Jessica Wilson,24,105 kg,Deadlift,195
Daniel Lee,32,74 kg,Bench Press,186
John Doe,57,Open,Deadlift,138
Sarah Thomas,42,52 kg,Squat,129
Laura Taylor,49,83 kg,Bench Press,150
Jessica Wilson,38,83 kg,Bench Press,211
Jane Smith,36,52 kg,Bench Press,258
Jessica Wilson,53,83 kg,Deadlift,205
Daniel Lee,50,66 kg,Squat,114
Daniel Lee,38,66 kg,Squat,137
Matthew Anderson,42,74 kg,Squat,232
Laura Taylor,50,Open,Deadlift,205
Jessica Wilson,45,105 kg,Deadlift,159
Emily Davis,62,66 kg,Bench Press,120
Michael Johnson,54,120 kg,Squat,251
Sarah Thomas,36,59 kg,Bench Press,372
Sarah Thomas,40,93 kg,Deadlift,122
Emily Davis,52,83 kg,Deadlift,106
Michael Johnson,49,Open,Bench Press,124
Jessica Wilson,36,Open,Deadlift,383
Chris Brown,32,74 kg,Deadlift,398
Jane Smith,25,105 kg,Deadlift,257
Jessica Wilson,29,93 kg,Squat,233
Matthew Anderson,28,74 kg,Bench Press,209
Emily Davis,56,105 kg,Bench Press,100
Jessica Wilson,59,74 kg,Deadlift,286
Matthew Anderson,40,59 kg,Deadlift,171
Chris Brown,18,Open,Squat,357
Jane Smith,52,66 kg,Deadlift,383
Laura Taylor,35,74 kg,Squat,129
Matthew Anderson,60,93 kg,Squat,394
Jane Smith,24,120 kg,Bench Press,115
Michael Johnson,21,66 kg,Bench Press,143
Jane Smith,58,74 kg,Deadlift,399
Jane Smith,45,74 kg,Bench Press,159
Laura Taylor,30,93 kg,Bench Press,112
Jessica Wilson,57,120 kg,Squat,368
John Doe,39,52 kg,Squat,376
Chris Brown,43,59 kg,Deadlift,314
Jane Smith,18,120 kg,Squat,276
Jane Smith,61,Open,Bench Press,392
Daniel Lee,52,105 kg,Bench Press,139
Daniel Lee,19,74 kg,Bench Press,295
John Doe,61,105 kg,Squat,154
Michael Johnson,55,59 kg,Deadlift,230
Emily Davis,64,52 kg,Bench Press,249
Laura Taylor,61,74 kg,Bench Press,393
Sarah Thomas,43,52 kg,Bench Press,349
Michael Johnson,41,83 kg,Squat,258
Chris Brown,60,74 kg,Bench Press,391
Sarah Thomas,22,74 kg,Bench Press,343
John Doe,25,105 kg,Squat,120
Daniel Lee,47,59 kg,Deadlift,341
Sarah Thomas,19,105 kg,Bench Press,202
Michael Johnson,41,59 kg,Bench Press,339
Chris Brown,41,105 kg,Bench Press,279
Laura Taylor,42,52 kg,Deadlift,316
Emily Davis,43,105 kg,Bench Press,387
John Doe,23,83 kg,Deadlift,356
Jessica Wilson,40,Open,Deadlift,116
Chris Brown,34,93 kg,Squat,378
John Doe,49,74 kg,Deadlift,143
Michael Johnson,18,83 kg,Bench Press,182
Emily Davis,21,83 kg,Squat,386
Jane Smith,51,83 kg,Squat,221
Laura Taylor,49,93 kg,Deadlift,138
Jane Smith,24,120 kg,Squat,394
Emily Davis,18,Open,Bench Press,183
Chris Brown,26,93 kg,Bench Press,255
Jane Smith,42,74 kg,Deadlift,370
Laura Taylor,24,66 kg,Deadlift,310
Chris Brown,29,59 kg,Bench Press,337
John Doe,22,52 kg,Squat,344
Michael Johnson,55,120 kg,Bench Press,153
Laura Taylor,25,59 kg,Deadlift,225
Chris Brown,43,83 kg,Bench Press,277
John Doe,60,83 kg,Deadlift,117
Michael Johnson,23,52 kg,Squat,297
Daniel Lee,55,120 kg,Bench Press,117
Sarah Thomas,22,66 kg,Deadlift,391
Michael Johnson,60,93 kg,Squat,144
Chris Brown,30,105 kg,Bench Press,392
Sarah Thomas,34,83 kg,Bench Press,104
Sarah Thomas,23,74 kg,Bench Press,220
Jessica Wilson,31,59 kg,Squat,207
